"","learn method","mmce","acc","auc","ce"
"216","classif.randomForest",0.191780821917808,0.808219178082192,0.685483870967742,0.370967741935484
"217","classif.rpart",0.150684931506849,0.849315068493151,0.67375366568915,0.347507331378299
"218","classif.glmnet",0.123287671232877,0.876712328767123,0.758064516129032,0.516129032258065
"219","classif.nnet",0.150684931506849,0.849315068493151,0.696480938416422,0.392961876832845
"220","classif.multinom",0.123287671232877,0.876712328767123,0.729472140762463,0.458944281524927
"221","classif.naiveBayes",0.194444444444444,0.805555555555556,0.713888888888889,0.427777777777778
"222","classif.svm",0.152777777777778,0.847222222222222,0.461111111111111,-0.0777777777777777
"223","classif.gbm",0.166666666666667,0.833333333333333,0.722916666666667,0.445833333333333
"224","classif.lda",0.152777777777778,0.847222222222222,0.751388888888889,0.502777777777778
"225","classif.mlp",0.166666666666667,0.833333333333333,0.620138888888889,0.240277777777778
"226","classif.randomForest",0.194444444444444,0.805555555555556,0.719444444444444,0.438888888888889
"227","classif.rpart",0.138888888888889,0.861111111111111,0.656944444444444,0.313888888888889
"228","classif.glmnet",0.152777777777778,0.847222222222222,0.742361111111111,0.484722222222222
"229","classif.nnet",0.194444444444444,0.805555555555556,0.556944444444444,0.113888888888889
"230","classif.multinom",0.138888888888889,0.861111111111111,0.756944444444444,0.513888888888889
"231","classif.naiveBayes",0.219178082191781,0.780821917808219,0.680351906158358,0.360703812316715
"232","classif.svm",0.164383561643836,0.835616438356164,0.494134897360704,-0.0117302052785924
"233","classif.gbm",0.150684931506849,0.849315068493151,0.736070381231672,0.472140762463343
"234","classif.lda",0.164383561643836,0.835616438356164,0.740469208211144,0.480938416422287
"235","classif.mlp",0.150684931506849,0.849315068493151,0.747800586510264,0.495601173020528
"236","classif.randomForest",0.178082191780822,0.821917808219178,0.69208211143695,0.3841642228739
"237","classif.rpart",0.164383561643836,0.835616438356164,0.62683284457478,0.25366568914956
"238","classif.glmnet",0.178082191780822,0.821917808219178,0.73533724340176,0.470674486803519
"239","classif.nnet",0.150684931506849,0.849315068493151,0.767595307917889,0.535190615835777
"240","classif.multinom",0.164383561643836,0.835616438356164,0.750733137829912,0.501466275659824
"241","classif.naiveBayes",0.166666666666667,0.833333333333333,0.663139329805996,0.326278659611993
"242","classif.svm",0.138888888888889,0.861111111111111,0.610229276895944,0.220458553791887
"243","classif.gbm",0.125,0.875,0.701058201058201,0.402116402116402
"244","classif.lda",0.152777777777778,0.847222222222222,0.731922398589065,0.463844797178131
"245","classif.mlp",0.125,0.875,0.559082892416226,0.118165784832452
"246","classif.randomForest",0.138888888888889,0.861111111111111,0.737213403880071,0.474426807760141
"247","classif.rpart",0.125,0.875,0.519400352733686,0.0388007054673722
