FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
emit_cmp_insn, gcc-2.8.0\optabs.c, 114, 336, 18, 3, 9, 50, 16
emit_jump_insn, gcc-2.8.0\emit-rtl.c, 13, 2, 2, 1, 1, 43, 4
emit_label, gcc-2.8.0\emit-rtl.c, 11, 2, 2, 1, 0, 58, 5
memory_address, gcc-2.8.0\explow.c, 70, 105, 16, 4, 15, 30, 14
hppa_can_use_return_insn_p, gcc-2.8.0\config\pa\pa.c, 9, 1, 2, 0, 0, 4, 3
emit_bcond_fp, gcc-2.8.0\config\pa\pa.c, 13, 1, 1, 0, 0, 4, 2
gen_cmp_fp, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 3, 2
pa_adjust_cost, gcc-2.8.0\config\pa\pa.c, 165, 57, 66, 4, 89, 11, 6
recog_memoized, gcc-2.8.0\recog.c, 8, 2, 2, 1, 0, 26, 4
rtx_equal_p, gcc-2.8.0\rtlanal.c, 68, 24, 27, 4, 98, 114, 3
reg_mentioned_p, gcc-2.8.0\rtlanal.c, 47, 14, 16, 4, 25, 77, 2
pa_adjust_insn_length, gcc-2.8.0\config\pa\pa.c, 57, 11, 11, 2, 15, 8, 6
simplejump_p, gcc-2.8.0\jump.c, 9, 1, 1, 0, 0, 32, 1
forward_branch_p, gcc-2.8.0\config\pa\pa.c, 14, 3, 3, 2, 2, 10, 1
exact_log2_wide, gcc-2.8.0\toplev.c, 11, 3, 3, 1, 1, 44, 1
output_global_address, gcc-2.8.0\config\pa\pa.c, 60, 582, 15, 3, 10, 10, 6
output_address, gcc-2.8.0\final.c, 7, 1, 1, 0, 0, 31, 2
output_addr_const, gcc-2.8.0\final.c, 86, 21, 21, 3, 72, 56, 7
assemble_name, gcc-2.8.0\varasm.c, 29, 16, 7, 3, 3, 27, 6
output_deferred_plabels, gcc-2.8.0\config\pa\pa.c, 17, 4, 3, 1, 0, 7, 5
data_section, gcc-2.8.0\varasm.c, 19, 4, 4, 3, 2, 18, 3
assemble_integer, gcc-2.8.0\varasm.c, 32, 27, 8, 3, 6, 10, 4
import_milli, gcc-2.8.0\config\pa\pa.c, 13, 2, 2, 1, 0, 7, 4
output_mul_insn, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 1, 4
output_millicode_call, gcc-2.8.0\config\pa\pa.c, 93, 13, 8, 2, 7, 15, 13
div_operand, gcc-2.8.0\config\pa\pa.c, 10, 1, 1, 0, 0, 7, 1
emit_hpdiv_const, gcc-2.8.0\config\pa\pa.c, 27, 2, 3, 1, 1, 6, 5
emit, gcc-2.8.0\emit-rtl.c, 21, 6, 6, 2, 6, 3, 9
output_div_insn, gcc-2.8.0\config\pa\pa.c, 48, 8, 6, 3, 5, 7, 7
output_mod_insn, gcc-2.8.0\config\pa\pa.c, 18, 2, 2, 1, 1, 2, 4
output_arg_descriptor, gcc-2.8.0\config\pa\pa.c, 57, 178, 13, 3, 4, 6, 5
savestring, gcc-2.8.0\protoize.c, 9, 1, 1, 0, 0, 6, 3
true_regnum, gcc-2.8.0\jump.c, 18, 5, 5, 2, 5, 26, 1
function_arg_advance, gcc-2.8.0\config\rs6000\rs6000.c, 40, 18, 9, 2, 3, 12, 6
int_size_in_bytes, gcc-2.8.0\tree.c, 21, 5, 5, 1, 4, 73, 3
hppa_builtin_saveregs, gcc-2.8.0\config\pa\pa.c, 28, 4, 4, 1, 1, 17, 10
tree_last, gcc-2.8.0\tree.c, 10, 3, 3, 2, 0, 26, 1
move_block_from_reg, gcc-2.8.0\expr.c, 38, 6, 6, 2, 2, 13, 8
emit_library_call, gcc-2.8.0\calls.c, 107, 7020, 20, 2, 0, 49, 34
expand_binop, gcc-2.8.0\optabs.c, 876, 999999999, 172, 6, 158, 86, 39
output_call, gcc-2.8.0\config\m88k\m88k.c, 64, 9, 12, 3, 6, 16, 13
next_active_insn, gcc-2.8.0\emit-rtl.c, 17, 3, 3, 2, 2, 18, 1
next_real_insn, gcc-2.8.0\emit-rtl.c, 13, 3, 3, 2, 2, 27, 1
get_attr_length, gcc-2.8.0\final.c, 6, 1, 1, 0, 0, 16, 1
next_nonnote_insn, gcc-2.8.0\emit-rtl.c, 12, 3, 3, 2, 2, 24, 1
output_bb, gcc-2.8.0\config\pa\pa.c, 100, 329, 24, 3, 20, 8, 11
output_bvb, gcc-2.8.0\config\pa\pa.c, 100, 329, 24, 3, 20, 8, 11
output_dbra, gcc-2.8.0\config\pa\pa.c, 73, 35, 16, 3, 29, 7, 8
output_movb, gcc-2.8.0\config\pa\pa.c, 78, 72, 20, 3, 36, 9, 11
final_scan_insn, gcc-2.8.0\final.c, 334, 166430814, 72, 6, 152, 43, 42
output_btst, gcc-2.8.0\config\m68k\m68k.c, 35, 17, 7, 2, 7, 7, 6
xfree, gcc-2.8.0\protoize.c, 7, 2, 2, 1, 0, 3, 1
_obstack_newchunk, gcc-2.8.0\obstack.c, 41, 72, 10, 3, 2, 170, 12
get_identifier, gcc-2.8.0\tree.c, 39, 136, 13, 3, 5, 166, 18
hppa_encode_label, gcc-2.8.0\config\pa\pa.c, 16, 2, 31, 1, 0, 12, 10
is_function_label_plus_const, gcc-2.8.0\config\pa\pa.c, 10, 2, 2, 1, 0, 4, 2
fmpyaddoperands, gcc-2.8.0\config\pa\pa.c, 39, 8, 8, 1, 7, 5, 2
fmpysuboperands, gcc-2.8.0\config\pa\pa.c, 37, 8, 8, 1, 7, 5, 2
plus_xor_ior_operator, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 2, 1
shadd_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 4, 2
basereg_operand, gcc-2.8.0\config\pa\pa.c, 19, 6, 6, 1, 5, 12, 2
non_hard_reg_operand, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 4, 1
eq_neq_comparison_operator, gcc-2.8.0\config\pa\pa.c, 7, 1, 1, 0, 0, 2, 1
movb_comparison_operator, gcc-2.8.0\config\pa\pa.c, 8, 1, 1, 0, 0, 2, 1
jump_in_call_delay, gcc-2.8.0\config\pa\pa.c, 17, 3, 3, 1, 2, 6, 2
output_parallel_movb, gcc-2.8.0\config\pa\pa.c, 22, 5, 5, 2, 5, 3, 2
output_parallel_addb, gcc-2.8.0\config\pa\pa.c, 18, 6, 4, 1, 2, 2, 3
following_call, gcc-2.8.0\config\pa\pa.c, 17, 4, 3, 1, 1, 4, 2
get_max_uid, gcc-2.8.0\emit-rtl.c, 5, 1, 1, 0, 0, 12, 1
single_set, gcc-2.8.0\rtlanal.c, 27, 7, 7, 4, 8, 63, 3
pa_reorg, gcc-2.8.0\config\pa\pa.c, 67, 10, 8, 4, 4, 8, 18
pa_combine_instructions, gcc-2.8.0\config\pa\pa.c, 142, 2440, 22, 6, 30, 5, 16
emit_insn_before, gcc-2.8.0\emit-rtl.c, 23, 5, 4, 2, 1, 40, 4
emit_label_after, gcc-2.8.0\emit-rtl.c, 11, 2, 2, 1, 0, 23, 5
emit_jump_insn_after, gcc-2.8.0\emit-rtl.c, 14, 2, 2, 1, 1, 14, 4
emit_barrier_after, gcc-2.8.0\emit-rtl.c, 9, 1, 1, 0, 0, 16, 6
delete_insn, gcc-2.8.0\jump.c, 96, 16418, 25, 3, 7, 42, 9
emit_insn_after, gcc-2.8.0\emit-rtl.c, 24, 5, 4, 2, 1, 36, 4
make_insn_raw, gcc-2.8.0\emit-rtl.c, 20, 2, 2, 1, 1, 10, 8
pa_can_combine_p, gcc-2.8.0\config\pa\pa.c, 33, 9, 6, 1, 5, 10, 10
